ADDRESS_DETAIL_PID,BUILDING_NAME,FLAT_NUMBER,NUMBER_FIRST,NUMBER_FIRST_SUFFIX,NUMBER_LAST,NUMBER_LAST_SUFFIX,STREET_NAME,STREET_TYPE_CODE,STREET_SUFFIX_TYPE,LOCALITY_NAME,STATE_ABBREVIATION,POSTCODE,Address
GANSW716766442,,10,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,10/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766473,,39,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,39/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW704337203,,,1,,,,FARNELL,AVENUE,,CARLINGFORD,NSW,2118,1 FARNELL AVENUE CARLINGFORD NSW 2118
GANSW704328193,,,1,Z,,,CARMEN,DRIVE,,CARLINGFORD,NSW,2118,1Z CARMEN DRIVE CARLINGFORD NSW 2118
GANSW704313517,,,1,,,,BUCKLAND,AVENUE,,CARLINGFORD,NSW,2118,1 BUCKLAND AVENUE CARLINGFORD NSW 2118
GANSW704313541,,,1,,,,FREDRIKA,PLACE,,CARLINGFORD,NSW,2118,1 FREDRIKA PLACE CARLINGFORD NSW 2118
GANSW717998408,,26,1,,9,,SHIRLEY,STREET,,CARLINGFORD,NSW,2118,26/1-9 SHIRLEY STREET CARLINGFORD NSW 2118
GANSW718003924,,23,1,,,,SHIRLEY,STREET,,CARLINGFORD,NSW,2118,23/1 SHIRLEY STREET CARLINGFORD NSW 2118
GANSW717720528,,41,1,,,,TIPTREES,AVENUE,,CARLINGFORD,NSW,2118,41/1 TIPTREES AVENUE CARLINGFORD NSW 2118
GANSW704319225,,,1,,,,BRADLEY,DRIVE,,CARLINGFORD,NSW,2118,1 BRADLEY DRIVE CARLINGFORD NSW 2118
GANSW704337202,,,1,A,,,FARNELL,AVENUE,,CARLINGFORD,NSW,2118,1A FARNELL AVENUE CARLINGFORD NSW 2118
GANSW710935926,,10,1,,,,JENKINS,ROAD,,CARLINGFORD,NSW,2118,10/1 JENKINS ROAD CARLINGFORD NSW 2118
GANSW707891858,BANKSIA TERRACE,5,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,5/1 DALMAR PLACE CARLINGFORD NSW 2118 (BANKSIA TERRACE)
GANSW707891875,ALAN WALKER VILLAGE,228,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,228/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW707909743,ALAN WALKER VILLAGE,615,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,615/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW704337065,,,1,,,,ALEXANDRA,PLACE,,CARLINGFORD,NSW,2118,1 ALEXANDRA PLACE CARLINGFORD NSW 2118
GANSW717720518,,26,1,,,,TIPTREES,AVENUE,,CARLINGFORD,NSW,2118,26/1 TIPTREES AVENUE CARLINGFORD NSW 2118
GANSW704330163,,,1,,,,PLYMPTON,ROAD,,CARLINGFORD,NSW,2118,1 PLYMPTON ROAD CARLINGFORD NSW 2118
GANSW716963470,,2,1,,5,,POST OFFICE,STREET,,CARLINGFORD,NSW,2118,2/1-5 POST OFFICE STREET CARLINGFORD NSW 2118
GANSW716963476,,35,1,,5,,POST OFFICE,STREET,,CARLINGFORD,NSW,2118,35/1-5 POST OFFICE STREET CARLINGFORD NSW 2118
GANSW707907098,BORONIA GARDENS,127,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,127/1 DALMAR PLACE CARLINGFORD NSW 2118 (BORONIA GARDENS)
GANSW716766464,,30,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,30/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766465,,31,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,31/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766449,,17,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,17/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766450,,18,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,18/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW704326017,,,1,,,,MOSELEY,STREET,,CARLINGFORD,NSW,2118,1 MOSELEY STREET CARLINGFORD NSW 2118
GANSW704339832,,,1,,,,MANILDRA,AVENUE,,CARLINGFORD,NSW,2118,1 MANILDRA AVENUE CARLINGFORD NSW 2118
GANSW707471892,,,1,,,,DANDARBONG,AVENUE,,CARLINGFORD,NSW,2118,1 DANDARBONG AVENUE CARLINGFORD NSW 2118
GANSW704335013,,,1,,,,KIMBERLEY,ROAD,,CARLINGFORD,NSW,2118,1 KIMBERLEY ROAD CARLINGFORD NSW 2118
GANSW707908626,,7,1,,,,BLENHEIM,ROAD,,CARLINGFORD,NSW,2118,7/1 BLENHEIM ROAD CARLINGFORD NSW 2118
GANSW707906837,BORONIA GARDENS,139,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,139/1 DALMAR PLACE CARLINGFORD NSW 2118 (BORONIA GARDENS)
GANSW707906858,CEDAR PLACE,409,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,409/1 DALMAR PLACE CARLINGFORD NSW 2118 (CEDAR PLACE)
GANSW717998399,,18,1,,9,,SHIRLEY,STREET,,CARLINGFORD,NSW,2118,18/1-9 SHIRLEY STREET CARLINGFORD NSW 2118
GANSW717998414,,31,1,,9,,SHIRLEY,STREET,,CARLINGFORD,NSW,2118,31/1-9 SHIRLEY STREET CARLINGFORD NSW 2118
GANSW717654391,,20,1,,3,,BOUNDARY,ROAD,,CARLINGFORD,NSW,2118,20/1-3 BOUNDARY ROAD CARLINGFORD NSW 2118
GANSW704325950,,,1,,,,MONTGOMERY,ROAD,,CARLINGFORD,NSW,2118,1 MONTGOMERY ROAD CARLINGFORD NSW 2118
GANSW715407297,,14,1,,3,,TIPTREES,AVENUE,,CARLINGFORD,NSW,2118,14/1-3 TIPTREES AVENUE CARLINGFORD NSW 2118
GANSW707906904,JASMINE TERRACE,22,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,22/1 DALMAR PLACE CARLINGFORD NSW 2118 (JASMINE TERRACE)
GANSW707906906,WISTERIA COURT,123,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,123/1 DALMAR PLACE CARLINGFORD NSW 2118 (WISTERIA COURT)
GANSW707906918,ALAN WALKER VILLAGE,611,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,611/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW710907651,,7,1,A,,,SHIRLEY,STREET,,CARLINGFORD,NSW,2118,7/1A SHIRLEY STREET CARLINGFORD NSW 2118
GANSW717720531,,47,1,,,,TIPTREES,AVENUE,,CARLINGFORD,NSW,2118,47/1 TIPTREES AVENUE CARLINGFORD NSW 2118
GANSW717118222,,,1,,,,MORRIS,STREET,,CARLINGFORD,NSW,2118,1 MORRIS STREET CARLINGFORD NSW 2118
GANSW717720522,,32,1,,,,TIPTREES,AVENUE,,CARLINGFORD,NSW,2118,32/1 TIPTREES AVENUE CARLINGFORD NSW 2118
GANSW717957600,,7,1,,3,,LLOYDS,AVENUE,,CARLINGFORD,NSW,2118,7/1-3 LLOYDS AVENUE CARLINGFORD NSW 2118
GANSW716963459,,1,1,,5,,POST OFFICE,STREET,,CARLINGFORD,NSW,2118,1/1-5 POST OFFICE STREET CARLINGFORD NSW 2118
GANSW710884834,,4,1,A,,,WOODSTOCK,ROAD,,CARLINGFORD,NSW,2118,4/1A WOODSTOCK ROAD CARLINGFORD NSW 2118
GANSW717654410,,38,1,,3,,BOUNDARY,ROAD,,CARLINGFORD,NSW,2118,38/1-3 BOUNDARY ROAD CARLINGFORD NSW 2118
GANSW716766479,,8,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,8/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766478,,7,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,7/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW716766466,,32,1,,7,,YOUNG,ROAD,,CARLINGFORD,NSW,2118,32/1-7 YOUNG ROAD CARLINGFORD NSW 2118
GANSW707478551,,,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,1 DALMAR PLACE CARLINGFORD NSW 2118
GANSW704334953,,,1,,,,BELLEVUE,DRIVE,,CARLINGFORD,NSW,2118,1 BELLEVUE DRIVE CARLINGFORD NSW 2118
GANSW704336833,,,1,A,,,WOODSTOCK,ROAD,,CARLINGFORD,NSW,2118,1A WOODSTOCK ROAD CARLINGFORD NSW 2118
GANSW717654425,,51,1,,3,,BOUNDARY,ROAD,,CARLINGFORD,NSW,2118,51/1-3 BOUNDARY ROAD CARLINGFORD NSW 2118
GANSW710935938,,2,1,A,,,JENKINS,ROAD,,CARLINGFORD,NSW,2118,2/1A JENKINS ROAD CARLINGFORD NSW 2118
GANSW707909563,ALAN WALKER VILLAGE,322,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,322/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW707906834,ALAN WALKER VILLAGE,28,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,28/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW707911450,ALAN WALKER VILLAGE,231,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,231/1 DALMAR PLACE CARLINGFORD NSW 2118 (ALAN WALKER VILLAGE)
GANSW707911541,PARKVIEW,306,1,,,,DALMAR,PLACE,,CARLINGFORD,NSW,2118,306/1 DALMAR PLACE CARLINGFORD NSW 2118 (PARKVIEW)
GANSW704333418,,,1,A,,,PARMA,PLACE,,CARLINGFORD,NSW,2118,1A PARMA PLACE CARLINGFORD NSW 2118
GANSW704332673,,,1,,,,OLYMPIC,COURT,,CARLINGFORD,NSW,2118,1 OLYMPIC COURT CARLINGFORD NSW 2118
GANSW704337258,,,1,,,,SUN VALLEY,PLACE,,CARLINGFORD,NSW,2118,1 SUN VALLEY PLACE CARLINGFORD NSW 2118
GANSW716467788,,,1,,,,EIGHTH,AVENUE,,CARLINGFORD,NSW,2118,1 EIGHTH AVENUE CARLINGFORD NSW 2118
GANSW717957599,,6,1,,3,,LLOYDS,AVENUE,,CARLINGFORD,NSW,2118,6/1-3 LLOYDS AVENUE CARLINGFORD NSW 2118
GANSW716963475,,34,1,,5,,POST OFFICE,STREET,,CARLINGFORD,NSW,2118,34/1-5 POST OFFICE STREET CARLINGFORD NSW 2118
GANSW710935923,,7,1,,,,JENKINS,ROAD,,CARLINGFORD,NSW,2118,7/1 JENKINS ROAD CARLINGFORD NSW 2118
GANSW710926857,,6,1,,,,JENKINS,ROAD,,CARLINGFORD,NSW,2118,6/1 JENKINS ROAD CARLINGFORD NSW 2118
