"ADDRESS_DETAIL_PID","STREET_LOCALITY_PID","LOCALITY_PID","BUILDING_NAME","LOT_NUMBER_PREFIX","LOT_NUMBER","LOT_NUMBER_SUFFIX","FLAT_TYPE","FLAT_NUMBER_PREFIX","FLAT_NUMBER","FLAT_NUMBER_SUFFIX","LEVEL_TYPE","LEVEL_NUMBER_PREFIX","LEVEL_NUMBER","LEVEL_NUMBER_SUFFIX","NUMBER_FIRST_PREFIX","NUMBER_FIRST","NUMBER_FIRST_SUFFIX","NUMBER_LAST_PREFIX","NUMBER_LAST","NUMBER_LAST_SUFFIX","STREET_NAME","STREET_CLASS_CODE","STREET_CLASS_TYPE","STREET_TYPE_CODE","STREET_SUFFIX_CODE","STREET_SUFFIX_TYPE","LOCALITY_NAME","STATE_ABBREVIATION","POSTCODE","CONFIDENCE","ALIAS_PRINCIPAL","PRIMARY_SECONDARY","LEGAL_PARCEL_ID","DATE_CREATED"
"GANSW704330189","NSW2920194","NSW832","","","1","","","",0.0,"","","",0.0,"","",18.0,"","",0.0,"","TOMAH","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",1.0,"P","","1//DP511047","2004-11-16"
"GANSW704333413","NSW2903832","NSW832","","","4","","","",0.0,"","","",0.0,"","",5.0,"","",0.0,"","PARKLEA","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","4//DP240954","2008-04-20"
"GANSW704330107","NSW2940020","NSW832","","","42","","","",0.0,"","","",0.0,"","",61.0,"","",0.0,"","PINETREE","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","P","42//DP235667","2004-11-16"
"GANSW706576066","NSW2876504","NSW832","","","1637","","","",0.0,"","","",0.0,"","",12.0,"","",0.0,"","MCKILLOP","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","1637//DP214707","2008-04-20"
"GANSW707485253","NSW2933678","NSW832","","","53","","","",0.0,"","","",0.0,"","",30.0,"","",0.0,"","BROOKLYN","C","CONFIRMED","CRESCENT","","","CARLINGFORD","NSW","2118",2.0,"P","","53//DP270263","2008-04-20"
"GANSW704334176","NSW2814862","NSW832","","","13","","","",0.0,"","","",0.0,"","",24.0,"","",0.0,"","BARELLAN","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","13//DP229660","2008-04-20"
"GANSW707455517","NSW2847852","NSW832","","","40","","","",0.0,"","","",0.0,"","",12.0,"","",0.0,"","DANDARBONG","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","40//DP229570","2008-04-20"
"GANSW707448757","NSW2869022","NSW832","","","2","","","",0.0,"","","",0.0,"","",244.0,"","",0.0,"","MARSDEN","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","2//DP3100","2008-04-20"
"GANSW704328152","NSW2926918","NSW832","","","486","","","",0.0,"","","",0.0,"","",10.0,"","",0.0,"","ADRIAN","C","CONFIRMED","COURT","","","CARLINGFORD","NSW","2118",2.0,"P","","486//DP232444","2008-04-20"
"GANSW704339080","NSW2878802","NSW832","","","6","","","",0.0,"","","",0.0,"","",22.0,"","",0.0,"","KAY","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","6//DP217146","2008-04-18"
"GANSW704329756","NSW2829090","NSW832","","","25","","","",0.0,"","","",0.0,"","",3.0,"","",0.0,"","BUCKLAND","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","25//DP251044","2008-04-17"
"GANSW704320181","NSW2881082","NSW832","","","214","","","",0.0,"","","",0.0,"","",17.0,"","",0.0,"","REMBRANDT","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","214//DP206540","2008-04-18"
"GANSW704324438","NSW2820050","NSW832","","","5","","","",0.0,"","","",0.0,"","",18.0,"","",0.0,"","BRADLEY","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","","5//DP219716","2008-04-19"
"GANSW704335308","NSW2867033","NSW832","","","14","","","",0.0,"","","",0.0,"","",22.0,"","",0.0,"","LANCELEY","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","14//DP230685","2008-04-18"
"GANSW704335738","NSW2885314","NSW832","","","9","","","",0.0,"","","",0.0,"","",531.0,"","",0.0,"","NORTH ROCKS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","9//DP205746","2010-01-20"
"GANSW704339031","NSW2940465","NSW832","","","17","","","",0.0,"","","",0.0,"","",9.0,"","",0.0,"","FREESTONE","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","17//DP233450","2008-04-20"
"GANSW707445492","NSW2812450","NSW832","","","17","","","",0.0,"","","",0.0,"","",8.0,"","",0.0,"","BUYUMA","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","17//DP29030","2008-04-20"
"GANSW704339858","NSW2885314","NSW832","","","3","","","",0.0,"","","",0.0,"","",362.0,"B","",0.0,"","NORTH ROCKS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","3//DP238920","2008-04-20"
"GANSW704330810","NSW2926918","NSW832","","","9","","","",0.0,"","","",0.0,"","",30.0,"","",0.0,"","ADRIAN","C","CONFIRMED","COURT","","","CARLINGFORD","NSW","2118",2.0,"P","","9//DP258772","2008-04-20"
"GANSW704334905","NSW2940430","NSW832","","","63","","","",0.0,"","","",0.0,"","",49.0,"","",0.0,"","EBONY","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","63//DP236660","2008-04-20"
"GANSW716766442","NSW2921205","NSW832","","","","","UNIT","",10.0,"","","",0.0,"","",1.0,"","",7.0,"","YOUNG","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","10//SP75327","2006-01-24"
"GANSW704337236","NSW2882471","NSW832","","","23","","UNIT","",23.0,"","","",0.0,"","",344.0,"","",0.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","23//SP15547","2009-04-15"
"GANSW716766473","NSW2921205","NSW832","","","","","UNIT","",39.0,"","","",0.0,"","",1.0,"","",7.0,"","YOUNG","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","39//SP75327","2006-01-24"
"GANSW704331876","NSW2838311","NSW832","","","5","","UNIT","",5.0,"","","",0.0,"","",3.0,"","",0.0,"","COLEMAN","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","S","5//SP3248","2009-04-15"
"GANSW704333447","NSW2891723","NSW832","","","2","","UNIT","",2.0,"","","",0.0,"","",3.0,"","",5.0,"","POST OFFICE","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",1.0,"P","S","2//SP53403","2009-04-15"
"GANSW704319236","NSW2838311","NSW832","","","9","","UNIT","",9.0,"","","",0.0,"","",8.0,"","",0.0,"","COLEMAN","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","S","9//SP33289","2009-04-15"
"GANSW704314271","NSW2877933","NSW832","","","50","","UNIT","",50.0,"","","",0.0,"","",9.0,"","",15.0,"","LLOYDS","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","S","50//SP58995","2009-04-15"
"GANSW704335596","NSW2810374","NSW832","","","6","","UNIT","",6.0,"","","",0.0,"","",99.0,"","",0.0,"","BAKER","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","S","6//SP66046","2008-12-29"
"GANSW718401761","NSW2817027","NSW832","","","","","UNIT","",65.0,"","","",0.0,"","",8.0,"","",10.0,"","BOUNDARY","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","//SP75860","2012-10-22"
"GANSW718401776","NSW2817027","NSW832","","","","","UNIT","",80.0,"","","",0.0,"","",8.0,"","",10.0,"","BOUNDARY","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","S","//SP75860","2013-01-13"
"GANSW704323498","NSW2915027","NSW832","","","7","","","",0.0,"","","",0.0,"","",8.0,"","",0.0,"","WOODSTOCK","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","7//DP216100","2008-04-19"
"GANSW704320138","NSW2882458","NSW832","","","15","","","",0.0,"","","",0.0,"","",34.0,"","",0.0,"","PENNANT","C","CONFIRMED","PARADE","","","CARLINGFORD","NSW","2118",2.0,"P","","15//DP17124","2008-04-18"
"GANSW704327585","NSW2920194","NSW832","","","100","","","",0.0,"","","",0.0,"","",31.0,"","",0.0,"","TOMAH","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","100//DP851381","2008-04-17"
"GANSW706411591","NSW2870259","NSW832","","","790","","","",0.0,"","","",0.0,"","",121.0,"","",0.0,"","MARSHALL","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","790//DP36846","2008-04-19"
"GANSW704320129","NSW2882458","NSW832","","","13","","","",0.0,"","","",0.0,"","",26.0,"","",0.0,"","PENNANT","C","CONFIRMED","PARADE","","","CARLINGFORD","NSW","2118",2.0,"P","","13//DP17124","2008-04-17"
"GANSW704329763","NSW2843212","NSW832","","","58","","","",0.0,"","","",0.0,"","",9.0,"","",0.0,"","CUDAL","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","58//DP250506","2008-04-19"
"GANSW704333065","NSW2815657","NSW832","","","30","","","",0.0,"","","",0.0,"","",40.0,"","",0.0,"","CAMELOT","C","CONFIRMED","COURT","","","CARLINGFORD","NSW","2118",2.0,"P","","30//DP237177","2008-04-19"
"GANSW704320860","NSW2911335","NSW832","","","18","","","",0.0,"","","",0.0,"","",10.0,"","",0.0,"","VICKERY","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","18//DP260473","2008-04-20"
"GANSW706551147","NSW2821392","NSW832","","","746","","","",0.0,"","","",0.0,"","",39.0,"","",0.0,"","BRAND","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","746//DP36743","2008-04-20"
"GANSW704314349","NSW2882471","NSW832","","","CP","","","",0.0,"","","",0.0,"","",169.0,"C","",0.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",1.0,"P","P","CP//SP51909","2008-01-05"
"GANSW707461808","NSW2899495","NSW832","","","4","","","",0.0,"","","",0.0,"","",36.0,"","",0.0,"","RAIMONDE","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","4//DP209930","2008-04-20"
"GANSW718257074","NSW2823989","NSW832","","","","","","",0.0,"","","",0.0,"","",58.0,"Z","",0.0,"","ARCADIAN","C","CONFIRMED","CIRCUIT","","","CARLINGFORD","NSW","2118",0.0,"P","","248//DP214655","2012-01-19"
"GANSW715405690","NSW2909773","NSW832","","","","","UNIT","",9.0,"","","",0.0,"","",13.0,"","",17.0,"","THALLON","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","S","9//SP71875","2008-01-05"
"GANSW704332755","NSW2882471","NSW832","","","7","","","",0.0,"","","",0.0,"","",750.0,"C","",0.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","7//DP212140","2008-04-18"
"GANSW704337146","NSW2824343","NSW832","","","30","","","",0.0,"","","",0.0,"","",19.0,"","",0.0,"","BENGHAZI","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","30//DP27839","2008-04-19"
"GANSW704335196","NSW2934891","NSW832","","","2","","","",0.0,"","","",0.0,"","",12.0,"C","",0.0,"","FELTON","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","2//DP596889","2012-10-19"
"GANSW710906589","NSW2882471","NSW832","","","","","SHOP","",121.0,"","","",0.0,"","",801.0,"","",809.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",1.0,"P","S","100//DP1020194","2008-07-08"
"GANSW710906612","NSW2882471","NSW832","","","","","SHOP","",211.0,"","","",0.0,"","",801.0,"","",809.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",1.0,"P","S","100//DP1020194","2008-07-08"
"GANSW704339131","NSW2878891","NSW832","","","1","","","",0.0,"","","",0.0,"","",17.0,"","",0.0,"","KEATS","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","1//DP878033","2008-04-19"
"GANSW704333044","NSW2815657","NSW832","","","41","","","",0.0,"","","",0.0,"","",18.0,"","",0.0,"","CAMELOT","C","CONFIRMED","COURT","","","CARLINGFORD","NSW","2118",2.0,"P","","41//DP237177","2008-04-19"
"GANSW704332610","NSW2871722","NSW832","","","117","","","",0.0,"","","",0.0,"","",27.0,"","",0.0,"","LEMONGROVE","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","117//DP232652","2008-04-19"
"GANSW704320033","NSW2856789","NSW832","","","37","","","",0.0,"","","",0.0,"","",20.0,"","",0.0,"","MIAMBA","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","37//DP241056","2008-04-19"
"GANSW707445413","NSW2869022","NSW832","","","70","","","",0.0,"","","",0.0,"","",197.0,"","",0.0,"","MARSDEN","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","70//DP30610","2008-04-19"
"GANSW704337203","NSW2851539","NSW832","","","76","","","",0.0,"","","",0.0,"","",1.0,"","",0.0,"","FARNELL","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","76//DP239554","2008-04-19"
"GANSW704337072","NSW2817556","NSW832","","","48","","","",0.0,"","","",0.0,"","",2.0,"","",0.0,"","ALEXANDRA","C","CONFIRMED","PLACE","","","CARLINGFORD","NSW","2118",2.0,"P","","48//DP225370","2008-04-19"
"GANSW704326794","NSW2928528","NSW832","","","16","","","",0.0,"","","",0.0,"","",33.0,"","",0.0,"","TALINGA","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","16//DP227071","2008-04-19"
"GANSW704332711","NSW2940020","NSW832","","","1","","","",0.0,"","","",0.0,"","",53.0,"","",0.0,"","PINETREE","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","","1//DP873426","2008-04-19"
"GANSW704333924","NSW2898499","NSW832","","","10","","","",0.0,"","","",0.0,"","",89.0,"","",0.0,"","MURRAY FARM","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","10//DP236185","2008-04-19"
"GANSW704322651","NSW2863332","NSW832","","","21","","","",0.0,"","","",0.0,"","",3.0,"","",0.0,"","IMLAY","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","21//DP250279","2008-04-19"
"GANSW704337274","NSW2930555","NSW832","","","26","","","",0.0,"","","",0.0,"","",2.0,"","",0.0,"","YALDING","C","CONFIRMED","AVENUE","","","CARLINGFORD","NSW","2118",2.0,"P","","26//DP236660","2008-04-19"
"GANSW704337502","NSW2882471","NSW832","","","3","","","",0.0,"","","",0.0,"","",748.0,"A","",0.0,"","PENNANT HILLS","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","3//DP219716","2008-04-19"
"GANSW704321821","NSW2829986","NSW832","","","4","","","",0.0,"","","",0.0,"","",3.0,"","",0.0,"","AVONLEA","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",2.0,"P","","4//DP223644","2008-04-19"
"GANSW704333103","NSW2849420","NSW832","","","101","","","",0.0,"","","",0.0,"","",20.0,"","",0.0,"","DARWIN","C","CONFIRMED","STREET","","","CARLINGFORD","NSW","2118",2.0,"P","","101//DP31772","2008-04-19"
"GANSW704334452","NSW2823989","NSW832","","","186","","","",0.0,"","","",0.0,"","",4.0,"","",0.0,"","ARCADIAN","C","CONFIRMED","CIRCUIT","","","CARLINGFORD","NSW","2118",2.0,"P","","186//DP217193","2008-04-19"
"GANSW704334432","NSW2827335","NSW832","","","116","","","",0.0,"","","",0.0,"","",186.0,"","",0.0,"","BETTINGTON","C","CONFIRMED","ROAD","","","CARLINGFORD","NSW","2118",2.0,"P","","116//DP210955","2008-04-19"
"GANSW704328193","NSW2820315","NSW832","","","6","","","",0.0,"","","",0.0,"","",1.0,"Z","",0.0,"","CARMEN","C","CONFIRMED","DRIVE","","","CARLINGFORD","NSW","2118",0.0,"P","","5//DP843383","2008-04-19"
