@relation 3.libgate-numeric-In-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last

@attribute libgate {'\'(-inf-8.333333]\'','\'(8.333333-16.666667]\'','\'(16.666667-inf)\''}
@attribute dumy_label {dumy_label}

@data

'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(16.666667-inf)\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(16.666667-inf)\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(16.666667-inf)\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(8.333333-16.666667]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
'\'(-inf-8.333333]\'',dumy_label
